TheTime,HNET_CBH_HMP60_Flag,HNET_CBH_O3_O3conc_ppbv_conv,HNET_CBH_O3_Flag,HNET_CBH_HMP60_Temp_C,HNET_CBH_HMP60_RH_pct,HNET_CBH_RMY_Flag,HNET_CBH_RMY_WD_deg,HNET_CBH_RMY_WS_ms
42841.00014111,1.000000,20.79590,1.000000,22.98828,88.37891,1.000000,128.0000,0.7500000
42841.00026280,1.000000,19.13950,1.000000,22.50000,88.86719,1.000000,89.50000,0.8500000
42841.00037872,1.000000,18.50320,1.000000,22.50000,88.86719,1.000000,89.30000,0.9200000
42841.00049464,1.000000,19.34150,1.000000,22.50000,88.37891,1.000000,103.5000,1.070000
42841.00061055,1.000000,19.61420,1.000000,22.50000,88.37891,1.000000,74.20000,1.000000
42841.00073026,1.000000,19.19000,1.000000,22.50000,88.86719,1.000000,115.6000,1.220000
42841.00084636,1.000000,19.09910,1.000000,22.50000,89.35547,1.000000,89.10000,1.510000
42841.00096336,1.000000,19.61420,1.000000,22.50000,88.86719,1.000000,125.1000,1.380000
42841.00107946,1.000000,19.39200,1.000000,22.01172,88.86719,1.000000,43.10000,0.8500000
42841.00119826,1.000000,20.41210,1.000000,22.01172,88.86719,1.000000,135.8000,0.4600000
42841.00131797,1.000000,18.77590,1.000000,22.01172,88.86719,1.000000,155.2000,0.6500000
42841.00143407,1.000000,19.48290,1.000000,22.98828,88.86719,1.000000,94.50000,0.8000000
42841.00155016,1.000000,19.07890,1.000000,22.50000,88.86719,1.000000,112.1000,1.170000
42841.00166626,1.000000,19.24050,1.000000,22.98828,88.86719,1.000000,112.2000,2.120000
42841.00178218,1.000000,19.99800,1.000000,22.50000,88.86719,1.000000,113.4000,2.110000
42841.00189828,1.000000,20.43230,1.000000,22.50000,88.86719,1.000000,127.6000,1.830000
42841.00201780,1.000000,20.39190,1.000000,22.01172,89.35547,1.000000,106.9000,1.600000
42841.00213372,1.000000,21.27060,1.000000,22.01172,88.86719,1.000000,116.2000,1.070000
42841.00224982,1.000000,21.27060,1.000000,22.50000,88.86719,1.000000,125.1000,1.250000
42841.00236573,1.000000,19.93740,1.000000,22.50000,88.86719,1.000000,42.60000,0.6000000
42841.00248183,1.000000,20.02830,1.000000,22.01172,88.86719,1.000000,102.8000,0.9900000
42841.00259775,1.000000,19.50310,1.000000,22.50000,88.86719,1.000000,65.30000,0.9900000
42841.00271384,1.000000,20.27070,1.000000,22.50000,88.86719,1.000000,17.10000,0.3400000
42841.00283319,1.000000,20.30100,1.000000,22.50000,89.35547,1.000000,127.2000,1.900000
42841.00294911,1.000000,19.70510,1.000000,22.50000,88.86719,1.000000,132.3000,2.450000
42841.00306503,1.000000,19.68490,1.000000,22.50000,89.84375,1.000000,124.9000,1.880000
42841.00318112,1.000000,22.22000,1.000000,22.50000,89.35547,1.000000,134.6000,1.450000
42841.00329704,1.000000,23.10880,1.000000,22.50000,89.84375,1.000000,146.3000,1.890000
42841.00341296,1.000000,22.10890,1.000000,22.50000,88.86719,1.000000,119.7000,1.210000
42841.00353266,1.000000,20.90700,1.000000,22.50000,89.84375,1.000000,130.1000,1.760000
42841.00364984,1.000000,19.77580,1.000000,22.01172,89.35547,1.000000,141.4000,1.130000
42841.00376666,1.000000,20.83630,1.000000,22.50000,88.86719,1.000000,96.80000,0.3700000
42841.00388457,1.000000,21.34130,1.000000,22.50000,88.86719,1.000000,126.8000,0.7000000
42841.00400066,1.000000,20.32120,1.000000,22.50000,88.86719,1.000000,120.4000,1.490000
42841.00411658,1.000000,19.80610,1.000000,22.50000,88.86719,1.000000,115.9000,2.280000
42841.00423268,1.000000,19.62430,1.000000,22.50000,89.35547,1.000000,123.5000,2.170000
42841.00434859,1.000000,19.97780,1.000000,22.01172,89.35547,1.000000,122.3000,1.990000
42841.00446469,1.000000,20.59390,1.000000,22.50000,88.86719,1.000000,113.6000,1.700000
42841.00458097,1.000000,20.68480,1.000000,22.01172,88.86719,1.000000,118.8000,1.720000
42841.00469707,1.000000,20.84640,1.000000,22.50000,88.86719,1.000000,119.6000,1.680000
42841.00481316,1.000000,21.21000,1.000000,22.50000,89.35547,1.000000,115.4000,1.520000
42841.00492908,1.000000,20.09900,1.000000,22.50000,88.37891,1.000000,123.6000,1.320000
42841.00504500,1.000000,19.63440,1.000000,22.50000,88.86719,1.000000,106.1000,1.650000
42841.00516109,1.000000,19.71520,1.000000,22.01172,88.86719,1.000000,111.8000,1.390000
42841.00527701,1.000000,19.02840,1.000000,22.50000,89.35547,1.000000,121.6000,1.180000
42841.00539293,1.000000,19.23040,1.000000,22.50000,88.86719,1.000000,115.9000,1.640000
42841.00550903,1.000000,19.09910,1.000000,22.01172,88.37891,1.000000,128.3000,1.920000
42841.00562512,1.000000,20.11920,1.000000,22.50000,89.84375,1.000000,103.1000,1.690000
42841.00574104,1.000000,20.88680,1.000000,22.98828,89.35547,1.000000,142.1000,1.070000
42841.00585696,1.000000,20.59390,1.000000,22.50000,89.84375,1.000000,136.5000,2.460000
42841.00597359,1.000000,18.19010,1.000000,22.50000,89.35547,1.000000,118.7000,1.650000
42841.00608969,1.000000,18.03860,1.000000,22.01172,89.35547,1.000000,16.60000,0.3400000
42841.00620579,1.000000,19.84650,1.000000,22.50000,88.86719,1.000000,71.20000,0.9700000
42841.00632568,1.000000,19.87680,1.000000,22.98828,88.86719,1.000000,83.80000,1.240000
42841.00644196,1.000000,16.29130,1.000000,22.50000,88.86719,1.000000,116.3000,1.210000
42841.00655787,1.000000,16.98820,1.000000,22.98828,88.86719,1.000000,110.5000,0.9100000
42841.00667379,1.000000,15.81660,1.000000,22.50000,88.86719,1.000000,85.50000,0.5100000
42841.00678931,1.000000,18.91730,1.000000,22.50000,88.86719,1.000000,132.9000,1.250000
