TheTime,HNET_CBH_HMP60_Flag,HNET_CBH_HMP60_Temp_C,HNET_CBH_HMP60_RH_pct,HNET_CBH_RMY_Flag,HNET_CBH_RMY_WD_deg,HNET_CBH_RMY_WS_ms
43186.00015202,1.000000,23.47656,84.47266,1.000000,136.0000,7.630000
43186.00026811,1.000000,23.47656,84.47266,1.000000,151.2000,8.410000
43186.00038403,1.000000,23.47656,84.47266,1.000000,164.6000,6.920000
43186.00049995,1.000000,23.47656,84.47266,1.000000,135.5000,6.170000
43186.00061586,1.000000,23.47656,84.47266,1.000000,150.4000,9.020000
43186.00073178,1.000000,23.47656,84.47266,1.000000,143.7000,6.990000
43186.00084770,1.000000,23.47656,84.96094,1.000000,149.5000,5.250000
43186.00096361,1.000000,23.47656,84.96094,1.000000,136.8000,5.190000
43186.00107953,1.000000,23.47656,84.47266,1.000000,153.7000,5.160000
43186.00119545,1.000000,23.47656,84.47266,1.000000,141.4000,2.190000
43186.00131136,1.000000,23.47656,84.96094,1.000000,150.4000,4.930000
43186.00142728,1.000000,23.47656,84.47266,1.000000,136.7000,5.760000
43186.00154320,1.000000,23.47656,84.47266,1.000000,138.3000,5.570000
43186.00165911,1.000000,23.47656,84.47266,1.000000,130.9000,5.560000
43186.00177503,1.000000,23.96484,84.47266,1.000000,139.7000,4.240000
43186.00189095,1.000000,23.47656,84.47266,1.000000,162.9000,3.490000
43186.00200686,1.000000,22.98828,84.96094,1.000000,149.3000,3.580000
43186.00212278,1.000000,23.47656,84.47266,1.000000,162.0000,4.490000
43186.00223870,1.000000,22.98828,84.96094,1.000000,128.5000,6.130000
43186.00235461,1.000000,23.47656,84.47266,1.000000,129.6000,4.180000
43186.00247053,1.000000,23.47656,84.96094,1.000000,131.7000,4.250000
43186.00258645,1.000000,23.47656,84.96094,1.000000,148.9000,2.140000
43186.00270236,1.000000,23.47656,84.47266,1.000000,157.0000,5.220000
43186.00281828,1.000000,23.47656,84.47266,1.000000,164.4000,3.070000
43186.00293420,1.000000,22.98828,84.96094,1.000000,137.3000,3.480000
43186.00305011,1.000000,23.47656,84.96094,1.000000,149.1000,4.910000
43186.00316603,1.000000,23.47656,84.96094,1.000000,160.9000,5.030000
43186.00328195,1.000000,23.47656,84.96094,1.000000,157.5000,7.340000
43186.00339786,1.000000,23.47656,84.96094,1.000000,186.9000,6.610000
43186.00351378,1.000000,22.98828,84.96094,1.000000,161.2000,6.850000
43186.00362970,1.000000,22.98828,84.96094,1.000000,147.3000,7.160000
43186.00374561,1.000000,23.47656,84.96094,1.000000,118.5000,7.890000
43186.00386153,1.000000,23.47656,84.47266,1.000000,168.5000,5.760000
43186.00397745,1.000000,23.47656,84.96094,1.000000,135.8000,6.060000
43186.00409336,1.000000,23.47656,84.47266,1.000000,152.3000,6.180000
43186.00420928,1.000000,23.47656,84.96094,1.000000,164.6000,7.790000
43186.00432520,1.000000,22.98828,84.96094,1.000000,145.6000,8.090000
43186.00444111,1.000000,22.98828,84.47266,1.000000,160.9000,5.360000
43186.00455703,1.000000,22.98828,84.96094,1.000000,167.3000,8.910000
43186.00467295,1.000000,23.47656,84.96094,1.000000,142.0000,4.780000
43186.00478886,1.000000,23.47656,84.47266,1.000000,171.4000,4.240000
43186.00490478,1.000000,22.98828,84.96094,1.000000,136.3000,4.030000
43186.00502070,1.000000,22.98828,85.44922,1.000000,150.1000,2.340000
43186.00513661,1.000000,22.98828,84.96094,1.000000,162.0000,3.640000
43186.00525253,1.000000,22.98828,84.47266,1.000000,137.0000,5.420000
43186.00536845,1.000000,23.47656,84.96094,1.000000,150.3000,3.380000
43186.00548436,1.000000,22.98828,84.47266,1.000000,151.8000,3.740000
43186.00560028,1.000000,23.47656,84.96094,1.000000,137.8000,3.400000
43186.00571620,1.000000,23.47656,84.96094,1.000000,145.1000,4.310000
43186.00583211,1.000000,23.47656,84.96094,1.000000,136.2000,5.010000
43186.00594803,1.000000,22.98828,85.44922,1.000000,140.1000,4.510000
43186.00606395,1.000000,23.47656,84.47266,1.000000,111.3000,2.120000
43186.00617986,1.000000,22.98828,84.96094,1.000000,151.1000,3.220000
43186.00629578,1.000000,23.47656,84.96094,1.000000,125.8000,3.970000
43186.00641170,1.000000,23.47656,84.96094,1.000000,143.2000,3.880000
43186.00652761,1.000000,23.47656,84.96094,1.000000,162.2000,5.500000
43186.00664353,1.000000,23.47656,84.96094,1.000000,123.0000,3.070000
43186.00675945,1.000000,23.47656,84.47266,1.000000,160.5000,5.670000
43186.00687554,1.000000,22.98828,84.96094,1.000000,151.8000,5.890000
43186.00699146,1.000000,23.47656,84.96094,1.000000,142.3000,5.470000
43186.00710738,1.000000,23.96484,84.96094,1.000000,134.9000,2.900000
43186.00722329,1.000000,22.98828,84.96094,1.000000,152.3000,6.870000
43186.00733921,1.000000,23.47656,84.96094,1.000000,155.3000,7.980000
43186.00745513,1.000000,23.47656,84.96094,1.000000,159.5000,11.51000
43186.00757104,1.000000,23.47656,84.96094,1.000000,166.4000,6.500000
43186.00768714,1.000000,23.47656,85.44922,1.000000,177.2000,7.690000
43186.00780306,1.000000,22.98828,84.96094,1.000000,171.9000,4.830000
43186.00791897,1.000000,22.98828,84.96094,1.000000,154.7000,4.430000
43186.00803489,1.000000,22.98828,84.47266,1.000000,149.8000,5.380000
43186.00815081,1.000000,23.47656,84.96094,1.000000,154.4000,5.490000
43186.00826672,1.000000,22.98828,84.47266,1.000000,159.1000,6.160000
43186.00838264,1.000000,23.47656,84.96094,1.000000,141.9000,9.010000
43186.00849856,1.000000,23.47656,84.96094,1.000000,135.2000,5.310000
43186.00861447,1.000000,23.47656,84.96094,1.000000,123.1000,8.770000
43186.00873039,1.000000,23.47656,84.96094,1.000000,131.7000,5.230000
43186.00884631,1.000000,23.47656,85.44922,1.000000,187.4000,5.410000
43186.00896222,1.000000,23.47656,85.44922,1.000000,161.5000,5.670000
43186.00907814,1.000000,23.47656,84.96094,1.000000,145.4000,6.140000
