TheTime,HNET_CCH_O3_conc_ppbv_conv,HNET_CCH_HMP60_Flag,HNET_CCH_O3_Flag,HNET_CCH_HMP60_RH_pct,HNET_CCH_HMP60_Temp_C,HNET_CCH_RMY_Flag,HNET_CCH_RMY_WD_Deg,HNET_CCH_RMY_WS_ms
42541.00018711,11.70790,1.000000,1.000000,85.59570,26.30859,1.000000,87.60000,0.9300000
42541.00030302,11.22290,1.000000,1.000000,85.40039,26.11328,1.000000,88.30000,1.560000
42541.00041894,10.77670,1.000000,1.000000,85.35156,26.06445,1.000000,110.4000,0.9000000
42541.00053486,11.74670,1.000000,1.000000,85.40039,26.16211,1.000000,84.90000,1.060000
42541.00065095,11.45570,1.000000,1.000000,85.54688,26.16211,1.000000,94.90000,0.8300000
42541.00076687,10.65060,1.000000,1.000000,85.44922,26.16211,1.000000,91.00000,1.190000
42541.00088279,10.42750,1.000000,1.000000,85.54688,26.21094,1.000000,99.30000,1.040000
42541.00099888,10.33050,1.000000,1.000000,85.40039,26.01563,1.000000,78.50000,0.5800000
42541.00111480,11.26170,1.000000,1.000000,85.54688,26.21094,1.000000,104.6000,0.9900000
42541.00123072,10.97070,1.000000,1.000000,85.40039,26.16211,1.000000,96.90000,0.7200000
42541.00134663,10.74760,1.000000,1.000000,85.49805,26.30859,1.000000,113.3000,0.8700000
42541.00146255,10.58270,1.000000,1.000000,85.30273,26.25977,1.000000,109.1000,1.110000
42541.00157847,11.23260,1.000000,1.000000,85.40039,26.21094,1.000000,109.5000,0.8400000
42541.00169438,11.13560,1.000000,1.000000,85.49805,26.16211,1.000000,109.5000,0.8500000
42541.00181030,11.16470,1.000000,1.000000,85.35156,26.21094,1.000000,98.80000,1.010000
42541.00192622,12.18320,1.000000,1.000000,85.15625,26.21094,1.000000,102.8000,1.160000
42541.00204213,12.05710,1.000000,1.000000,85.10742,26.30859,1.000000,93.10000,1.500000
42541.00215805,11.94070,1.000000,1.000000,85.20508,26.21094,1.000000,115.9000,1.170000
42541.00227397,12.39660,1.000000,1.000000,85.10742,26.25977,1.000000,128.0000,1.210000
42541.00238988,11.60120,1.000000,1.000000,85.20508,26.11328,1.000000,95.80000,1.020000
42541.00250580,11.34900,1.000000,1.000000,85.00977,26.21094,1.000000,113.2000,0.9900000
42541.00262172,12.25110,1.000000,1.000000,85.05859,26.35742,1.000000,100.3000,0.8100000
42541.00273763,12.42570,1.000000,1.000000,85.00977,26.16211,1.000000,120.2000,1.120000
42541.00285355,12.05710,1.000000,1.000000,84.81445,26.25977,1.000000,103.7000,0.9900000
42541.00296947,12.55180,1.000000,1.000000,84.81445,26.30859,1.000000,124.9000,1.280000
42541.00308538,11.58180,1.000000,1.000000,84.66797,26.30859,1.000000,106.9000,1.200000
42541.00320130,11.53330,1.000000,1.000000,84.86328,26.50391,1.000000,107.5000,1.090000
42541.00331722,11.63030,1.000000,1.000000,84.81445,26.25977,1.000000,109.1000,1.460000
42541.00343313,12.16380,1.000000,1.000000,84.76563,26.21094,1.000000,135.8000,1.280000
42541.00354905,11.52360,1.000000,1.000000,84.61914,26.35742,1.000000,122.2000,1.000000
42541.00366497,12.72640,1.000000,1.000000,84.52148,26.40625,1.000000,115.1000,1.050000
42541.00378106,12.89130,1.000000,1.000000,84.47266,26.25977,1.000000,103.9000,0.8100000
42541.00389698,11.47510,1.000000,1.000000,84.37500,26.21094,1.000000,98.50000,0.8400000
42541.00401290,11.80490,1.000000,1.000000,84.37500,26.16211,1.000000,116.7000,1.410000
42541.00412881,12.70700,1.000000,1.000000,84.27734,26.45508,1.000000,112.1000,1.410000
42541.00424473,12.21230,1.000000,1.000000,84.32617,26.50391,1.000000,128.0000,1.770000
42541.00436065,11.76610,1.000000,1.000000,84.22852,26.25977,1.000000,93.50000,0.8500000
42541.00447656,12.46450,1.000000,1.000000,84.17969,26.35742,1.000000,112.3000,1.360000
42541.00459266,12.45480,1.000000,1.000000,84.03320,26.35742,1.000000,116.9000,0.9600000
42541.00470858,12.51300,1.000000,1.000000,84.13086,26.45508,1.000000,123.8000,1.120000
42541.00482450,11.87280,1.000000,1.000000,84.17969,26.45508,1.000000,103.3000,1.030000
42541.00494041,12.09590,1.000000,1.000000,84.08203,26.40625,1.000000,120.8000,1.580000
42541.00505633,12.37720,1.000000,1.000000,83.93555,26.30859,1.000000,115.4000,1.480000
42541.00517191,12.51300,1.000000,1.000000,83.93555,26.40625,1.000000,121.5000,1.190000
42541.00528783,13.27930,1.000000,1.000000,83.83789,26.50391,1.000000,119.1000,1.300000
42541.00540375,13.14350,1.000000,1.000000,83.74023,26.45508,1.000000,110.4000,1.460000
42541.00551966,12.79430,1.000000,1.000000,83.64258,26.30859,1.000000,113.6000,1.250000
42541.00563558,12.54210,1.000000,1.000000,83.64258,26.55273,1.000000,122.6000,1.440000
42541.00575150,13.44420,1.000000,1.000000,83.69141,26.50391,1.000000,119.6000,0.8800000
42541.00586741,13.05620,1.000000,1.000000,83.54492,26.60156,1.000000,110.5000,1.420000
42541.00598333,13.40540,1.000000,1.000000,83.54492,26.50391,1.000000,119.0000,1.140000
42541.00609925,12.65850,1.000000,1.000000,83.54492,26.60156,1.000000,133.2000,1.240000
