TheTime,HNET_CLH_HMP60_Flag,HNET_CLH_O3_conc_ppbv_conv,HNET_CLH_O3_Flag,HNET_CLH_HMP60_RH_pct,HNET_CLH_HMP60_Temp_C,HNET_CLH_RMY_Flag,HNET_CLH_RMY_WD_deg,HNET_CLH_RMY_WS_ms
42512.00011941,1.000000,14.42280,1.000000,98.73047,25.18555,1.000000,41.00000,0.8000000
42512.00023551,1.000000,14.55540,1.000000,98.97461,26.11328,1.000000,63.00000,0.7000000
42512.00035161,1.000000,14.91240,1.000000,98.43750,25.18555,1.000000,41.00000,0.7000000
42512.00046753,1.000000,14.93280,1.000000,98.87695,24.59961,1.000000,39.00000,1.000000
42512.00058344,1.000000,14.72880,1.000000,98.43750,24.99023,1.000000,44.00000,0.9000000
42512.00069936,1.000000,14.26980,1.000000,98.82813,24.84375,1.000000,50.00000,1.000000
42512.00081528,1.000000,13.92300,1.000000,99.07227,25.13672,1.000000,44.00000,0.9000000
42512.00093119,1.000000,14.45340,1.000000,98.82813,25.38086,1.000000,45.00000,0.6000000
42512.00104711,1.000000,15.05520,1.000000,98.53516,24.89258,1.000000,56.00000,1.000000
42512.00116303,1.000000,15.52440,1.000000,98.43750,25.13672,1.000000,45.00000,0.8000000
42512.00127912,1.000000,15.37140,1.000000,98.48633,24.94141,1.000000,52.00000,0.7000000
42512.00139504,1.000000,14.81040,1.000000,99.02344,26.11328,1.000000,68.00000,0.4000000
42512.00151096,1.000000,14.71860,1.000000,98.73047,25.03906,1.000000,49.00000,0.6000000
42512.00162687,1.000000,14.64720,1.000000,98.87695,24.94141,1.000000,58.00000,0.9000000
42512.00174279,1.000000,15.87120,1.000000,99.02344,24.45313,1.000000,26.00000,0.9000000
42512.00185871,1.000000,15.64680,1.000000,98.92578,24.06250,1.000000,20.00000,0.6000000
42512.00197462,1.000000,15.14700,1.000000,98.87695,24.84375,1.000000,50.00000,0.9000000
42512.00209072,1.000000,15.61620,1.000000,98.82813,25.08789,1.000000,98.00000,0.5000000
42512.00220664,1.000000,15.52440,1.000000,98.77930,25.08789,1.000000,82.00000,0.4000000
42512.00232255,1.000000,16.28940,1.000000,99.12109,24.84375,1.000000,19.00000,0.6000000
42512.00243847,1.000000,16.57500,1.000000,98.97461,24.84375,1.000000,46.00000,0.9000000
42512.00255439,1.000000,16.37100,1.000000,98.73047,24.89258,1.000000,57.00000,0.7000000
42512.00267030,1.000000,16.03440,1.000000,98.43750,24.99023,1.000000,66.00000,0.6000000
42512.00278622,1.000000,15.66720,1.000000,98.92578,24.94141,1.000000,43.00000,0.7000000
42512.00290214,1.000000,15.75900,1.000000,98.58398,24.89258,1.000000,46.00000,0.6000000
42512.00301805,1.000000,15.81000,1.000000,98.92578,24.35547,1.000000,62.00000,0.6000000
42512.00313397,1.000000,15.23880,1.000000,98.73047,24.94141,1.000000,39.00000,0.6000000
42512.00324989,1.000000,14.81040,1.000000,98.77930,25.03906,1.000000,47.00000,0.8000000
42512.00336580,1.000000,14.89200,1.000000,99.02344,24.25781,1.000000,76.00000,0.5000000
42512.00348172,1.000000,14.73900,1.000000,98.87695,25.08789,1.000000,71.00000,0.6000000
42512.00359764,1.000000,14.96340,1.000000,98.29102,24.64844,1.000000,61.00000,0.9000000
42512.00371355,1.000000,15.37140,1.000000,98.63281,25.13672,1.000000,59.00000,0.8000000
42512.00382947,1.000000,14.89200,1.000000,98.92578,24.45313,1.000000,45.00000,0.8000000
42512.00394539,1.000000,14.54520,1.000000,98.87695,25.08789,1.000000,33.00000,0.9000000
42512.00406130,1.000000,14.02500,1.000000,99.02344,25.52734,1.000000,47.00000,0.9000000
42512.00417722,1.000000,13.78020,1.000000,98.58398,24.79492,1.000000,39.00000,0.9000000
42512.00429314,1.000000,14.75940,1.000000,98.73047,25.28320,1.000000,65.00000,0.8000000
42512.00440905,1.000000,14.95320,1.000000,98.92578,24.94141,1.000000,58.00000,0.9000000
42512.00452497,1.000000,15.37140,1.000000,99.02344,25.08789,1.000000,61.00000,0.9000000
42512.00464089,1.000000,15.46320,1.000000,98.97461,25.03906,1.000000,61.00000,0.9000000
42512.00475680,1.000000,14.70840,1.000000,99.12109,25.03906,1.000000,69.00000,0.8000000
42512.00487272,1.000000,15.08580,1.000000,98.33984,25.52734,1.000000,54.00000,0.9000000
42512.00498864,1.000000,15.74880,1.000000,99.07227,24.84375,1.000000,40.00000,0.8000000
42512.00510455,1.000000,15.82020,1.000000,98.68164,24.84375,1.000000,60.00000,1.100000
42512.00522047,1.000000,15.66720,1.000000,98.92578,25.72266,1.000000,50.00000,0.9000000
42512.00533639,1.000000,16.11600,1.000000,99.02344,24.79492,1.000000,50.00000,0.7000000
42512.00545230,1.000000,16.07520,1.000000,98.68164,25.18555,1.000000,39.00000,0.7000000
42512.00556822,1.000000,15.27960,1.000000,98.82813,24.99023,1.000000,37.00000,0.7000000
42512.00568396,1.000000,15.41220,1.000000,99.07227,25.42969,1.000000,39.00000,0.6000000
42512.00579988,1.000000,15.88140,1.000000,98.82813,24.89258,1.000000,48.00000,0.6000000
42512.00591579,1.000000,15.48360,1.000000,98.82813,24.79492,1.000000,40.00000,0.8000000
42512.00603171,1.000000,15.74880,1.000000,98.87695,24.79492,1.000000,32.00000,0.5000000
42512.00614763,1.000000,16.47300,1.000000,98.77930,25.13672,1.000000,26.00000,0.6000000
42512.00626354,1.000000,16.03440,1.000000,99.07227,24.89258,1.000000,31.00000,0.7000000
42512.00637946,1.000000,15.18780,1.000000,98.82813,25.03906,1.000000,18.00000,0.6000000
42512.00649538,1.000000,14.82060,1.000000,99.02344,24.79492,1.000000,51.00000,0.5000000
42512.00661129,1.000000,14.92260,1.000000,98.97461,24.64844,1.000000,43.00000,0.4000000
42512.00672721,1.000000,15.27960,1.000000,98.92578,26.06445,1.000000,359.0000,0.3000000
42512.00684313,1.000000,16.11600,1.000000,98.77930,25.28320,1.000000,44.00000,0.5000000
42512.00695922,1.000000,16.25880,1.000000,99.02344,25.86914,1.000000,16.00000,0.7000000
42512.00707514,1.000000,15.57540,1.000000,98.97461,24.64844,1.000000,8.000000,0.9000000
42512.00719106,1.000000,15.42240,1.000000,99.07227,25.57617,1.000000,33.00000,1.100000
42512.00730697,1.000000,14.98380,1.000000,98.92578,25.28320,1.000000,37.00000,1.200000
42512.00742289,1.000000,14.89200,1.000000,98.92578,24.50195,1.000000,55.00000,0.9000000
42512.00753881,1.000000,14.52480,1.000000,99.02344,25.03906,1.000000,66.00000,1.200000
42512.00765472,1.000000,14.56560,1.000000,99.12109,24.94141,1.000000,66.00000,1.000000
42512.00777064,1.000000,14.53500,1.000000,98.77930,24.84375,1.000000,59.00000,1.000000
42512.00788692,1.000000,15.52440,1.000000,98.82813,24.89258,1.000000,35.00000,1.100000
42512.00800284,1.000000,17.44200,1.000000,98.68164,24.84375,1.000000,61.00000,1.300000
42512.00811875,1.000000,18.47220,1.000000,99.02344,25.18555,1.000000,49.00000,1.200000
42512.00823467,1.000000,17.93160,1.000000,98.68164,25.86914,1.000000,47.00000,0.7000000
42512.00835059,1.000000,16.74840,1.000000,98.82813,25.08789,1.000000,60.00000,1.000000
42512.00846650,1.000000,16.19760,1.000000,98.82813,24.74609,1.000000,82.00000,0.8000000
42512.00858242,1.000000,15.61620,1.000000,98.82813,25.03906,1.000000,38.00000,1.000000
42512.00869834,1.000000,15.09600,1.000000,98.87695,25.03906,1.000000,48.00000,1.300000
42512.00881425,1.000000,15.58560,1.000000,99.02344,25.23438,1.000000,31.00000,1.100000
42512.00893017,1.000000,16.22820,1.000000,99.21875,25.82031,1.000000,41.00000,1.700000
42512.00904609,1.000000,15.90180,1.000000,99.07227,25.28320,1.000000,35.00000,1.400000
42512.00916200,1.000000,15.35100,1.000000,98.92578,24.64844,1.000000,46.00000,0.6000000
42512.00927792,1.000000,15.61620,1.000000,98.73047,25.08789,1.000000,37.00000,0.9000000
42512.00939384,1.000000,15.94260,1.000000,98.58398,25.52734,1.000000,31.00000,0.5000000
42512.00950975,1.000000,15.85080,1.000000,99.02344,24.69727,1.000000,77.00000,0.5000000
42512.00962567,1.000000,16.09560,1.000000,98.92578,25.13672,1.000000,70.00000,0.7000000
42512.00974159,1.000000,15.89160,1.000000,98.82813,24.84375,1.000000,63.00000,0.9000000
42512.00985750,1.000000,15.79980,1.000000,99.02344,24.99023,1.000000,71.00000,0.6000000
42512.00997342,1.000000,17.05440,1.000000,98.53516,24.89258,1.000000,49.00000,1.200000
42512.01008934,1.000000,17.20740,1.000000,98.92578,25.62500,1.000000,57.00000,0.7000000
42512.01020525,1.000000,16.65660,1.000000,99.07227,24.69727,1.000000,61.00000,0.8000000
42512.01032117,1.000000,16.99320,1.000000,98.73047,24.64844,1.000000,13.00000,0.4000000
42512.01043727,1.000000,17.53380,1.000000,99.02344,24.69727,1.000000,62.00000,0
42512.01055318,1.000000,17.29920,1.000000,99.16992,24.89258,1.000000,48.00000,0.7000000
42512.01066910,1.000000,16.92180,1.000000,99.12109,24.45313,1.000000,40.00000,0.8000000
42512.01078502,1.000000,16.41180,1.000000,99.16992,24.55078,1.000000,52.00000,0.5000000
42512.01090093,1.000000,16.38120,1.000000,99.02344,24.89258,1.000000,45.00000,0.7000000
42512.01101685,1.000000,15.58560,1.000000,99.12109,25.33203,1.000000,35.00000,0.6000000
42512.01113277,1.000000,15.10620,1.000000,98.92578,24.89258,1.000000,51.00000,0.9000000
42512.01124868,1.000000,14.96340,1.000000,98.63281,24.89258,1.000000,37.00000,0.7000000
42512.01136460,1.000000,14.65740,1.000000,98.68164,24.69727,1.000000,37.00000,0.7000000
42512.01148052,1.000000,15.36120,1.000000,99.12109,25.38086,1.000000,44.00000,1.000000
42512.01159643,1.000000,15.96300,1.000000,98.68164,24.59961,1.000000,63.00000,0.8000000
42512.01171235,1.000000,15.84060,1.000000,98.87695,24.69727,1.000000,44.00000,0.8000000
42512.01182827,1.000000,15.12660,1.000000,99.12109,25.47852,1.000000,39.00000,0.6000000
42512.01194418,1.000000,15.28980,1.000000,98.92578,24.59961,1.000000,37.00000,1.000000
42512.01206010,1.000000,15.61620,1.000000,98.92578,24.69727,1.000000,44.00000,0.8000000
42512.01217602,1.000000,14.87160,1.000000,98.24219,24.79492,1.000000,61.00000,0.7000000
42512.01229211,1.000000,14.96340,1.000000,98.58398,24.79492,1.000000,55.00000,0.7000000
42512.01240803,1.000000,15.52440,1.000000,98.82813,24.69727,1.000000,61.00000,0.7000000
42512.01252395,1.000000,15.84060,1.000000,98.53516,24.74609,1.000000,32.00000,0.7000000
42512.01263986,1.000000,15.68760,1.000000,98.53516,24.89258,1.000000,47.00000,0.6000000
42512.01275578,1.000000,15.46320,1.000000,98.58398,24.94141,1.000000,49.00000,0.5000000
